severity,species,common_name
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,SOTR,Trowbridge's shrew
unb,NEFU,Dusky-footed woodrat
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,SOTR,Trowbridge's shrew
unb,PEBO,Brush mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEBO,Brush mouse
unb,NEQU,Long-eared chipmunk
unb,SOTR,Trowbridge's shrew
unb,NEQU,Long-eared chipmunk
unb,GLSA,Northern flying squirrel
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEBO,Brush mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEBO,Brush mouse
unb,PEBO,Brush mouse
unb,PEMA,Deer mouse
unb,SOTR,Trowbridge's shrew
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,SOTR,Trowbridge's shrew
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEBO,Brush mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,SOTR,Trowbridge's shrew
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,SOTR,Trowbridge's shrew
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,PEBO,Brush mouse
unb,PEBO,Brush mouse
unb,PEBO,Brush mouse
unb,SOTR,Trowbridge's shrew
unb,PEMA,Deer mouse
unb,PEMA,Deer mouse
unb,NEFU,Dusky-footed woodrat
high,NESE,Shadow chipmunk
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,OTBE,California ground squirrel
high,OTBE,California ground squirrel
high,OTBE,California ground squirrel
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,PEMA,Deer mouse
high,OTBE,California ground squirrel
high,PEMA,Deer mouse
high,PEBO,Brush mouse
high,PEMA,Deer mouse
